deg,Nan_last,Max_last,Nan_full,Max_full
60.5,0.213488,0.108451,0.0745845,0.100196
61,0.219847,0.113259,0.0863946,0.113061
61.5,0.224108,0.114704,0.0946653,0.121193
62,0.230416,0.119883,0.10666,0.133639
62.5,0.235138,0.121609,0.115053,0.14174
63,0.241227,0.126631,0.126538,0.153062
63.5,0.246435,0.129024,0.13579,0.162739
64,0.251825,0.133223,0.145428,0.172217
64.5,0.257733,0.13713,0.155962,0.1826
65,0.262865,0.1399,0.164672,0.190871
65.5,0.269098,0.145038,0.175631,0.202899
66,0.273931,0.147118,0.183406,0.209771
66.5,0.280758,0.153143,0.195264,0.221982
67,0.285627,0.154848,0.202954,0.229628
67.5,0.29184,0.160559,0.21378,0.240663
68,0.29727,0.16365,0.222617,0.249408
68.5,0.303096,0.168418,0.232064,0.259011
69,0.309274,0.172248,0.242023,0.269053
69.5,0.314183,0.176072,0.250503,0.27717
70,0.320767,0.181268,0.261015,0.289366
70.5,0.325532,0.183707,0.268785,0.296325
71,0.33228,0.18982,0.279349,0.307728
71.5,0.337206,0.192432,0.287043,0.315434
72,0.343493,0.198271,0.296777,0.326381
72.5,0.348849,0.201334,0.305682,0.335106
73,0.354602,0.206966,0.314096,0.344242
73.5,0.36051,0.211048,0.323035,0.354011
74,0.365523,0.215016,0.330808,0.362139
74.5,0.371692,0.220166,0.340895,0.373045
75,0.376465,0.223714,0.347744,0.37993
75.5,0.382704,0.229525,0.35756,0.391202
76,0.387441,0.232792,0.364316,0.397955
76.5,0.39326,0.238719,0.373379,0.408272
77,0.398585,0.241991,0.381427,0.416892
77.5,0.403705,0.24758,0.389717,0.425146
78,0.409488,0.251894,0.397988,0.434649
78.5,0.413736,0.256362,0.405266,0.442313
79,0.419777,0.26139,0.414889,0.453027
79.5,0.423887,0.265255,0.421223,0.459874
80,0.429543,0.271275,0.431053,0.47053
80.5,0.433949,0.274288,0.438324,0.477643
81,0.439205,0.280514,0.447109,0.487304
81.5,0.443976,0.284004,0.454695,0.495819
82,0.448613,0.289526,0.462989,0.504484
82.5,0.453694,0.293669,0.471693,0.513779
83,0.457514,0.298405,0.479154,0.521127
83.5,0.462696,0.303645,0.488671,0.530948
84,0.466422,0.307429,0.495656,0.537795
84.5,0.47155,0.312926,0.505298,0.547382
85,0.475159,0.316625,0.512509,0.554285
85.5,0.480013,0.322197,0.521945,0.563318
86,0.483915,0.325924,0.529796,0.570799
86.5,0.48783,0.331039,0.538444,0.578645
87,0.492108,0.335488,0.547373,0.587149
87.5,0.495403,0.339989,0.554422,0.593176
88,0.499898,0.345046,0.564095,0.60249
88.5,0.502752,0.348503,0.57018,0.608098
89,0.507115,0.354557,0.578853,0.617226
89.5,0.510243,0.357849,0.584912,0.623066
90,0.51397,0.363329,0.593341,0.631021
90.5,0.517192,0.367158,0.599959,0.637695
91,0.520229,0.372418,0.606819,0.644764
91.5,0.523852,0.376872,0.614141,0.652135
92,0.526162,0.381299,0.619391,0.657839
92.5,0.530136,0.386486,0.626846,0.666059
93,0.531879,0.390633,0.631262,0.670605
93.5,0.535674,0.396178,0.63844,0.67904
94,0.537703,0.400058,0.642922,0.683841
94.5,0.540627,0.40582,0.648929,0.69082
95,0.543097,0.409784,0.65369,0.696733
95.5,0.545283,0.415335,0.658573,0.702633
96,0.548204,0.419936,0.663927,0.709158
96.5,0.549881,0.424515,0.667438,0.713754
97,0.553072,0.429647,0.673299,0.720875
97.5,0.554,0.434153,0.676125,0.72457
98,0.55695,0.43977,0.68152,0.732038
98.5,0.558291,0.443609,0.684328,0.735616
99,0.560676,0.449274,0.689034,0.742133
99.5,0.562532,0.453583,0.692221,0.746669
100,0.564101,0.458628,0.695424,0.751635
100.5,0.566167,0.463699,0.699405,0.757139
